notif_var
agegroup_option
conf_rr_fqr
conf_rr_fqr_tx
conf_rr_nfqr
conf_rr_nfqr_tx
mdr_alloral_short_used
mdr_tx_adsm
mdrxdr_alloral_used
mdrxdr_bpalm_used
new_clindx
new_ep
new_labconf
newrel_art
newrel_f014
newrel_f04
newrel_f1524
newrel_f15plus
newrel_f2534
newrel_f3544
newrel_f4554
newrel_f514
newrel_f5564
newrel_f65
newrel_fu
newrel_hivpos
newrel_hivtest
newrel_m014
newrel_m04
newrel_m1524
newrel_m15plus
newrel_m2534
newrel_m3544
newrel_m4554
newrel_m514
newrel_m5564
newrel_m65
newrel_mu
newrel_tbhiv_flg
notif_foreign
nrr
nrr_hpmz_used
nrr_tx
rdx_data_available
rel_in_agesex_flg
ret_nrel
ret_rel_clindx
ret_rel_ep
ret_rel_labconf
rr_nfqr_014_tx
unconf_rr_nfqr_tx
