cat_var
prevtx_data_available
screen_data_available
tpt_short_regimens_used
g_whoregion
hosp_type_mdr
igra_used
tbst_used
tst_used
agegroup_option
mdr_alloral_short_used
mdrxdr_alloral_used
mdrxdr_bpalm_used
newrel_tbhiv_flg
nrr_hpmz_used
rdx_data_available
rel_in_agesex_flg
